"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
-0.19786,0,0,0,0,-0.39572,1,1.6667e-07,0.0053324,-0.0011374,0,-0,0.25631,0,0.07733,-0.042277,0
-0.19655,0,0,0,0,-0.3931,1,1.6667e-07,0.0053569,-0.0011843,0,-0,0.25715,0,0.074194,-0.041596,0
-0.1951,0,0,0,0,-0.3902,1,1.6667e-07,0.0053804,-0.0012322,0,-0,0.25798,0,0.071158,-0.040913,0
-0.19351,0,0,0,0,-0.38702,1,1.6667e-07,0.0054027,-0.0012812,0,-0,0.25879,0,0.068221,-0.040228,0
-0.19177,0,0,0,0,-0.38354,1,1.6667e-07,0.0054237,-0.0013313,0,-0,0.25958,0,0.06538,-0.039542,0
-0.18988,0,0,0,0,-0.37976,1,1.6667e-07,0.0054434,-0.0013825,0,-0,0.26036,0,0.062633,-0.038856,0
-0.18783,0,0,0,0,-0.37566,1,1.6667e-07,0.0054613,-0.0014347,0,-0,0.26112,0,0.059977,-0.03817,0
-0.18561,0,0,0,0,-0.37123,1,1.6667e-07,0.0054781,-0.0014882,0,-0,0.26186,0,0.05741,-0.037484,0
-0.18323,0,0,0,0,-0.36646,1,1.6667e-07,0.0054927,-0.0015425,0,-0,0.26258,0,0.05493,-0.036799,0
-0.18067,0,0,0,0,-0.36133,1,1.6667e-07,0.0055057,-0.001598,0,-0,0.26327,0,0.052535,-0.036115,0
-0.17792,0,0,0,0,-0.35584,1,1.6667e-07,0.0055169,-0.0016546,0,-0,0.26394,0,0.050222,-0.035433,0
-0.17498,0,0,0,0,-0.34997,1,1.6667e-07,0.0055257,-0.0017122,0,-0,0.26458,0,0.04799,-0.034752,0
-0.17185,0,0,0,0,-0.34369,1,1.6667e-07,0.0055323,-0.0017707,0,-0,0.26519,0,0.045837,-0.034074,0
-0.1685,0,0,0,0,-0.33701,1,1.6667e-07,0.0055365,-0.0018302,0,-0,0.26577,0,0.043759,-0.033398,0
-0.16494,0,0,0,0,-0.32989,1,1.6667e-07,0.0055381,-0.0018906,0,-0,0.26631,0,0.041756,-0.032725,0
-0.16116,0,0,0,0,-0.32232,1,1.6667e-07,0.0055372,-0.001952,0,-0,0.26682,0,0.039825,-0.032055,0
-0.15714,0,0,0,0,-0.31428,1,1.6667e-07,0.0055335,-0.0020142,0,-0,0.2673,0,0.037964,-0.031388,0
-0.15288,0,0,0,0,-0.30575,1,1.6667e-07,0.0055265,-0.002077,0,-0,0.26772,0,0.036171,-0.030725,0
-0.14836,0,0,0,0,-0.29672,1,1.6667e-07,0.005515,-0.0021401,0,-0,0.26807,0,0.034445,-0.030065,0
-0.14358,0,0,0,0,-0.28715,1,1.6667e-07,0.0055038,-0.0022051,0,-0,0.26846,0,0.032783,-0.02941,0
-0.13852,0,0,0,0,-0.27703,1,1.6667e-07,0.0054844,-0.0022687,0,-0,0.26868,0,0.031184,-0.028759,0
-0.13317,0,0,0,0,-0.26634,1,1.6667e-07,0.0054658,-0.0023347,0,-0,0.26897,0,0.029646,-0.028112,0
-0.12753,0,0,0,0,-0.25505,1,1.6667e-07,0.005438,-0.0023986,0,-0,0.26906,0,0.028167,-0.02747,0
-0.12157,0,0,0,0,-0.24315,1,1.6667e-07,0.005414,-0.0024661,0,-0,0.26929,0,0.026746,-0.026833,0
-0.1153,0,0,0,0,-0.23059,1,1.6667e-07,0.0053767,-0.0025294,0,-0,0.26923,0,0.02538,-0.026201,0
-0.10869,0,0,0,0,-0.21738,1,1.6667e-07,0.0053407,-0.0025951,0,-0,0.26924,0,0.024068,-0.025574,0
-0.10174,0,0,0,0,-0.20348,1,1.6667e-07,0.0053007,-0.0026608,0,-0,0.2692,0,0.022809,-0.024952,0
-0.094433,0,0,0,0,-0.18887,1,1.6667e-07,0.0052551,-0.0027256,0,-0,0.26906,0,0.021601,-0.024335,0
-0.086757,0,0,0,0,-0.17351,1,1.6667e-07,0.0052042,-0.0027894,0,-0,0.26883,0,0.020443,-0.023724,0
-0.078702,0,0,0,0,-0.1574,1,1.6667e-07,0.0051485,-0.0028522,0,-0,0.26852,0,0.019333,-0.023119,0
-0.070263,0,0,0,0,-0.14053,1,1.6667e-07,0.0050899,-0.0029151,0,-0,0.26819,0,0.018269,-0.02252,0
-0.061429,0,0,0,0,-0.12286,1,1.6667e-07,0.0050262,-0.0029766,0,-0,0.26777,0,0.01725,-0.021927,0
-0.052196,0,0,0,0,-0.10439,1,1.6667e-07,0.0049568,-0.0030361,0,-0,0.26725,0,0.016276,-0.021339,0
-0.042561,0,0,0,0,-0.085122,1,1.6667e-07,0.0048863,-0.0030964,0,-0,0.26675,0,0.015343,-0.020759,0
